"family","sires","mean","mean_error","mean_sigma","lm_intercept","lm_intercept_error","lm_slope","lm_slope_error","lm_sigma","sire_jersey_propn","sire_breed","sire_birth_date","sire_birth_year","sire_region","halfsibs_in_data","halfsibs_total","sire_breeding_window","sire_avg_age_at_col","rounded_ages","children_per_age"
1,137771,0.88273024359933,0.056689323055915,0.219556804103331,3.77712968931697,2.13975465237731,-0.0066732234377136,0.00493170687818304,0.213317464107649,0,"Holstein","2006-08-15",2006,"SOUTHLAND",15,15,37,433.733333333333,"1","15"
1,137968,1.00607318611891,0.048406406363415,0.16768471046652,1.51717719733453,1.15545247604501,-0.00119836813884084,0.00270658391420307,0.17417030471014,0.0625,"Holstein","2006-08-29",2006,"TARANAKI",12,12,55,426.5,"1","12"
1,138029,0.97724193988132,0.0557411362923163,0.236489612780043,3.19720884016884,1.78081496155807,-0.00509296510389693,0.00408354063593476,0.232718031480017,0,"Holstein","2006-08-15",2006,"TARANAKI",18,19,29,435.888888888889,"1","18"
1,138096,1.088178447819,0.049484441842887,0.20994470634202,2.59860836483767,2.0236405176193,-0.00366460958435587,0.00490825529686673,0.212731961059558,0,"Holstein","2006-09-10",2006,"TARANAKI",18,18,34,412.166666666667,"1","18"
1,138247,1.16900703898252,0.0549022853837315,0.263302110945211,-0.0887707772242732,1.70588660828406,0.00303779163842867,0.00411788684032497,0.266072742804603,0,"Holstein","2006-09-11",2006,"SOUTH AUCKLAND",23,23,37,414.04347826087,"1","23"
1,138340,1.0373289887337,0.033204155489658,0.132816621958632,1.85065357721152,0.700331157266189,-0.00181217008991019,0.00155869461691401,0.131286484444902,0,"Holstein","2006-08-14",2006,"BAY OF PLENTY",16,17,64,448.8125,"1","16"
1,138368,1.03992260307283,0.0564812627753234,0.203646089039384,0.349599657597625,1.80096780059825,0.00156727179377884,0.00408665445614803,0.21129350309767,0.4375,"Mix","2006-08-06",2006,"SOUTH AUCKLAND",13,14,44,440.461538461538,"1","13"
1,138401,0.922098178052536,0.0833855838790485,0.263688369080812,0.800565775378328,0.147824772173951,0.000221531904254845,0.000222448831613193,0.263808971254835,0.375,"Mix","2006-08-21",2006,"SOUTH AUCKLAND",10,10,1259,548.6,"1 5","9 1"
1,138495,1.06749315828701,0.0465405772391021,0.147174227694553,1.45681278188175,1.03000248704327,-0.000935414761159887,0.00247198397823219,0.154723291976234,0.6875,"Mix","2006-09-13",2006,"SOUTH AUCKLAND",10,10,52,416.2,"1","10"
1,138525,1.04535957933642,0.0491212070168459,0.17710903061192,0.968156118054263,1.24318601195576,0.000174638071457806,0.00280975368353874,0.184951875123258,0,"Holstein","2006-08-17",2006,"SOUTH CANTERBURY",13,13,49,442.076923076923,"1","13"
1,138570,0.881911954856436,0.0370882118385344,0.177868815478543,-2.52420536488091,1.56296057313602,0.00831289243993622,0.00381360840609619,0.164403007787972,1,"Jersey","2006-09-13",2006,"SOUTH AUCKLAND",23,25,36,409.739130434783,"1","23"
1,138720,1.09869814095402,0.0466361784315817,0.186544713726327,-1.99810220535585,2.45850403574735,0.00695129146197501,0.00551757201802073,0.182997161375388,0,"Holstein","2006-08-15",2006,"SOUTH AUCKLAND",16,17,30,445.5,"1","16"
1,138735,0.958120515038869,0.0466652191767092,0.208693204528097,0.272774432748497,1.21307330534339,0.00151340638686181,0.00267669657265947,0.212532910441687,1,"Jersey","2006-08-06",2006,"SOUTH AUCKLAND",20,20,44,452.85,"1","20"
1,138754,1.12161612242853,0.0547643538864423,0.197455686005223,-3.96758368448369,3.00569190081922,0.0112612080833802,0.00664993736182737,0.183678333481105,0,"Holstein","2006-08-15",2006,"SOUTH AUCKLAND",13,13,27,451.923076923077,"1","13"
1,138782,0.947335951056165,0.0272845346863492,0.133666375701648,0.939405976099873,0.0630310267065024,1.07282637514662e-05,7.64741954551378e-05,0.136609401015883,0.4375,"Mix","2006-09-21",2006,"BAY OF PLENTY",24,25,777,739.166666666667,"1 3","13 11"
1,138819,0.969499179434023,0.0411016533564491,0.192783842657888,0.896180150340218,0.387937221934193,0.000178747632985783,0.000940188875743292,0.197366388838099,1,"Jersey","2006-08-03",2006,"SOUTH AUCKLAND",22,22,114,410.181818181818,"1","22"
1,138848,0.928931416096748,0.0417130240087181,0.161553847305715,0.920137738743872,1.92954950127293,2.02401657654053e-05,0.00444007338151416,0.167652216493603,0.6875,"Mix","2006-08-16",2006,"TARANAKI",15,15,34,434.466666666667,"1","15"
1,138873,0.930101284247533,0.0277874783221025,0.11114991328841,1.06714996847071,0.924468241697874,-0.000328999091908609,0.00221820588945638,0.114960807422197,1,"Jersey","2006-09-06",2006,"WAIRARAPA",16,16,35,416.5625,"1","16"
1,138930,0.985380511370577,0.0463162149252223,0.201887700306354,-0.604717403683729,1.69715935357935,0.00387679460875553,0.0041362679234049,0.202572695008046,0,"Holstein","2006-09-16",2006,"SOUTH AUCKLAND",19,21,35,410.157894736842,"1","19"
1,138942,1.00898044150239,0.0437375352233177,0.209757850175987,1.05052135369275,0.0648392232969751,-3.94142560281411e-05,4.52060822054074e-05,0.210910588393105,0,"Holstein","2006-08-25",2006,"BAY OF PLENTY",23,26,2294,1053.95652173913,"1 7","16 7"
1,138963,1.30039353606344,0.0770532017011018,0.277819269671992,3.50336591419924,5.57192440556205,-0.00535702224387679,0.0135479923344512,0.288132288822977,0.375,"Mix","2006-09-09",2006,"SOUTH AUCKLAND",13,15,14,411.230769230769,"1","13"
1,139008,1.08333785306623,0.0373455365822351,0.14938214632894,0.327425527744451,0.724757163689102,0.001928347768678,0.00184642892352407,0.148932549502076,1,"Jersey","2006-10-03",2006,"SOUTH AUCKLAND",16,17,50,392,"1","16"
1,139095,1.07506524084464,0.0484397176262589,0.181244827269536,0.568218966599919,1.40284339716921,0.00115061583256463,0.00318262628107932,0.187626549191354,0.5,"Mix","2006-08-12",2006,"SOUTH AUCKLAND",14,14,60,440.5,"1","14"
1,139367,0.981275284409796,0.0365853053751896,0.179230660506234,0.582197435368654,1.7238818221824,0.000821147837533214,0.00354624875904984,0.183035911819158,0,"Holstein","2007-07-05",2007,"SOUTH AUCKLAND",24,25,30,486,"1","24"
1,139378,1.04688750896489,0.0297869642771762,0.165846798179353,0.983505753016351,1.00921664725336,0.000133254285141049,0.00212082861484923,0.168670511405488,0,"Holstein","2007-07-09",2007,"NORTHLAND",31,31,53,475.645161290323,"1","31"
1,139380,0.952141821639742,0.0234005038847,0.132373239840428,1.05972680056521,0.168536851449706,-0.000247517386268951,0.000383919258733566,0.13363876946599,0.9375,"Jersey","2007-07-09",2007,"SOUTH AUCKLAND",32,32,184,434.65625,"1","32"
1,139554,1.07474780114705,0.0285226416853246,0.197610658260257,1.18096714447389,0.104188916066742,-0.000162007196456677,0.000152855924962114,0.197351915877797,1,"Jersey","2007-07-13",2007,"NORTHLAND",48,50,426,655.645833333333,"1 2","24 24"
1,139575,1.05919896025367,0.0112663468690946,0.175624966736697,1.02052270782948,0.0217831907660794,3.08646912130957e-05,1.49142587007657e-05,0.174445774329558,1,"Jersey","2007-07-20",2007,"SOUTH AUCKLAND",243,293,1982,1253.09053497942,"1 2 3 5 6","66 62 13 48 54"
1,139576,0.995101379935623,0.0229004009449029,0.163541574332959,0.967756855402381,0.0376972101054784,4.11961110479545e-05,4.50690136376704e-05,0.16381123463237,0.625,"Mix","2007-07-18",2007,"SOUTH AUCKLAND",51,54,1601,663.764705882353,"1 2 5","41 3 7"
1,139876,1.08497372864649,0.0303870731628418,0.171895243950857,0.826411916164427,0.623215894457304,0.000571052384527982,0.0013747351485566,0.174236325264938,1,"Jersey","2007-07-27",2007,"SOUTH AUCKLAND",32,36,104,452.78125,"1","32"
1,140047,1.04172074144879,0.0248867082851174,0.151379936659174,0.624102782388923,0.652952449614469,0.000937044541250146,0.00146400203754122,0.152636575164421,0,"Holstein","2007-08-03",2007,"TARANAKI",37,41,41,445.675675675676,"1","37"
1,140059,0.986578057355981,0.0286441450322659,0.167022631752114,2.71081026308013,1.57638458937622,-0.00367917001346937,0.00336314042244468,0.166526899209403,0.9375,"Jersey","2007-07-18",2007,"SOUTH AUCKLAND",34,35,29,468.647058823529,"1","34"
1,140162,1.04332230794803,0.0151040893925211,0.164766162936736,0.987740335499788,0.0349277110142313,4.04304183558295e-05,2.29541604844903e-05,0.163317695154633,1,"Jersey","2007-08-03",2007,"SOUTH AUCKLAND",119,151,1583,1374.75630252101,"1 4 5","39 2 78"
